0010CE84,"Single player it is?"
20E629FD,"Ugly ass concept"
218ED5B5,"Change AllDrive settin'"
21F46F96,"Version 0.4a2 - AllDrive"
22328F5F,"How it all started?"
225C6792,"Lost that car, i hope that boss wont deduct from our salary..."
227EE9AD,"Repaired"
22C60F4C,"Fuck you."
2360ACA6,"How fast can you drive's?"
249A4984,"Go higher if you want PS4 graphics, go lower to get that PS3 feeling (use 720p with Low settings to get nostalgic)"
24A5310B,"Target hit"
252AF9AF,"Heated awaits..."
258BA9D6,"This will reset everything to max volume, so be careful"
2597F225,"Multi"
25E86022,"Your internet garbo. Check that shit and get back to action! In meantime see what Better Rivals Text has to offer"
261DDB68,"Start interceptor"
272F7873,"SKILL ISSUE"
2789C5BD," How fast can you drive's?"
27BAAC5E,"Fucked up?"
281EF1D2,"IM FUCKING DYING"
287A328E,"Overwatch locked"
28A93C0F,"Finish"
28E31F6D,"Maserati Overwatch"
28FF1C0A,"Drop in"
2900BF2B,"Nice hit on {0:s} with a Spike Strip"
292BC4B0,"FLYIN'"
295EB19B,"Heated game"
29B54F0C,"Try not to hit the walls, traffic and other shit that will slow you down, or else"
2A0A2B3A,"Host didnt like what you were doing, you got kicked. Did you get their info yet?"
2A6B7078,"PLATES"
2AEEE7A0,"6th element (Carbon)"
2AFDF7EE,"YOU SURE BRO?"
2B471248,"Level 1 is the worst shit that you can use, upgrade it please"
2B471249,"Level 2 makes jammer last X2 longer"
2B47124A,"Level 3 further increases Jammer jam time, this time it also has higher range"
2B47124B,"Level 4 is the best, longest and also painful Jammer available - no one can touch you now!"
2BA2BE03,"See those triangles in 4 corners? make em closer i guess"
2BCE8978,"Roadblock Failed, but what would you expect?"
2C7AFA70,"{0:s} - Kill confirmed"
2DDCDBFD,"FUCKING SPIKES"
2DF18977,"Boat 2.0"
2E5A7656,"Dodge Boat 2.0 UC"
2E933356,"Race"
2E9FBAD8,"Said no to {0:s}'s Stun Mine"
2FE2F129,"You suck ass, no improvement in Speedrun"
3030CCF6,"DO NOT CLICK THIS"
30F78133,"Koenigsegg Speedrunner ENF"
31A09DEB,"Go back to default (why?)"
31A5DAAD,"Buy this shit?"
31B02083,"The cop killer"
31C85F85,"No turbo :("
3250305B,"Cars maxed out"
330173F1,"Start How clean can you drive?"
34487715,"  SWITCHIN STORY?"
3507DB79,"Set volume of SFX (Includes voices, car vroom vroom and other shit)"
35D41F3E,"Chapter 16 btw"
3607D9FE,"Selfexplainatory, either turn em on or off. Fun fact: Japanese doesnt have subtitles lol"
36AA63B3,"Outran the cops"
36C3392C,"Startin"
36E433A7,"My russia rush B"
36E48488,"My russia"
377875DF,"Useless report"
378139C2,"Jammer on"
38CDF0C8,"Repair shops are for pussies when youre doing 1v1"
38CDF0C9,"You can start event with others, that doesnt apply to interceptors tho"
38CDF0CA,"HardDrive is useful if you need to repair"
38CDF0CB,"HardDrive isnt useful when you need to get to Hideout or Command Post (because you remember where it is anyway)"
38CDF0CC,"Do you have eyes? Repairs are shown on minimap - the closest one"
38CDF0CD,"Do you have eyes? Command Posts and Hideouts are shown on minimap - the closest one"
38CDF0CE,"When dropping in You can choose where to drop (wow) and it can be on events as well"
38CDF0CF,"Did you know that you can use map to locate other 5 players?"
38CDF0D0,"Map has filters, who uses them anyway?"
38CDF0E8,"You can set routes using HardDrive"
38CDF0E9,"You can set routes using map"
38CDF0EA,"Routes are green Thats it, thats the tip"
38CDF0EB,"Heated has been wrecking cheaters since February 2024"
38CDF0EC,"This mod took me ages to create so enjoy silly messages i put here and there"
38FD435C,"ESF"
3989333B,"Repaired"
39CD1FC0,"You know what motion blur is. Some like it, some dont. I do, judge me"
3B0DAE54,"Said no to {0:s}'s Helicopter Spike Strip"
3B53946E,"Executive Producer of Ghost Games"
3D16ECBA,"This mf will reset yo graphics to default, you sure?"
3DA93F48,"(Maxed out by default)"
3DABB9C5,"Heated awaits"
3DE0A08F,"  CHANGE CAR"
3E0C74CB,"Shadows from front"
3E2E0577,"That Roadblock was useless lol"
3E48C553,"Event ended by user"
3E5BC2E5,"You want to know who that guy is? Thats -Heat-The_Zephyr He is the Leader of Heated.  Heated was formed as a 3 man army with him, The_Rival and -Heat-R4nd. They created it on January 20th 2024.  The first ever member was Kokmus, followed by Leftyy (both of them left, Leftyy is still playing Rivals)  Heated was actually a group on discord, on 2nd of March, the server was created."
3F0BE285,"I SWEAR TO FUCKING GOD THOSE SPIKES"
404F585D,"Nice Sav annoyer hit with Spike Strip"
407282B5,"Jammer countered? how?"
4103973B,"Grand Theft Auto"
41262C59,"Dropping out? Pussy"
420C0021,"Hellstarted"
42273CA5,"Racer"
42399821,"{0:s} has rage quit from Race"
428DD183,"Go back?"
42F10461,"Time is runnin'!"
43504A18,"Looking for Agera?"
43626967,"Hit that while i hit this"
439789A3,"Map - drop in"
4399BAC9,"  RAP SHEET"
4399F607," GIVE US YOUR MONEY"
440727D8,"Broken"
443502CE,"Level 1 is the worst shit that you can use, upgrade it please"
443502CF,"Level 2 doesnt do much besides slight damage increase and 1 more use"
443502D0,"Level 3 further decreases recharge but also deals more damage"
443502D1,"Max level gets you the best EMP available, with the lowest chance to miss the target when locking on"
45E4BE28,"Got that gold"
469236D5,"You wanna play online? Then you need to sign in to Origin (now EA) account"
49CAF28D,"BRT Origin"
4A671652,"Possible escape"
4A82E508," How clean can you drive?"
4A927667,"Dodge"
4BB44908,"Here we go..."
4BD5A6EC,"Speedruns"
4C732850," How fast can you drive?"
4C76F323,"Anoy"
4CAE869C,"The friendship grew, but one day NFSPunishment decided that he will leave Rivals. But that day, he said something. Something that will change everything.  He told that guy that he has the potential to form a community, a community of those that are like him.  This is the story of Heated"
4CB04F49,"Racer Hunter ENF"
4CE7A6B3,"YOU CANT DRIVE FOR SHIT BRO"
4CE9F743,"Do it before: {0:s}"
4CF76568,"Drop out with {0:s} ?"
4D3AE10C,"Next time dodge them"
4DCBC443,"GTA6 in 2025"
4E09E646,"1v1 race started"
4E5A4DF3,"Lookin for session... (Might take ages depending on your shitty connection...)"
4E735312,"Tech 1"
4E735313,"Tech 2"
4EA713B0,"no."
4F7B8EFC,"Unsafe Frame Setup"
4FB81589,"Cops killed"
4FC34147,"Dropping out? Pussy"
4FF99594,"Speedrunner"
502CAF72,"  PERSONALIZATION"
50628273,"Koenigsegg Speedrunner ENF"
50E97CED,"Back to action"
513F0B75,"Newbie UC"
518CDE2F,"  NFS™ NETWORK IS DEAD"
524A9E21,"Hot Pursuit Started, you know what to do"
52CCC41B,"Heated game"
52E37A44,"Max level"
534DA4AF,"Free for all"
55D5C514,"Text time"
56A975DE,"Slow down dude, too many Roadblocks at once"
579371EC,"Drove for"
57FBEC05,"USELESS"
58298949,"You can set volume of music - max gives you copyright strikes for music! How fun!"
583334A2,"{0:s} - Kill confirmed"
59213602,"Level 1 is the worst shit that you can use, upgrade it please"
59213603,"Level 2 is still really weak but has better reaction time upon activation, weak against cops"
59213604,"Level 3 further makes Shock Wave better, with even less delay upon activation"
59213605,"Level 4 brings the PVP level Shock Wave - Pair it with ESF and attack enemies!"
59AE570A,"COMMING"
59F67EB1,"Result from current play"
5A431D22,"DEAD BECAUSE OF EA APP"
5A4C9378,"COLORS GO BRRR"
5A5E52B1,"Before Heated existed, there was a some guy that was driving around. But he kept on getting defeated by someone called ""NFSPunishment"". That person contacted that guy, talked to him for a while. Then teached him how to play the real Need for Speed Rivals..."
5AB297FD,"ESF on"
5AD3F259,"ESF is the universal weapon that is mainly used with EMP or Shock Ram. It is useful against EMP and Mines but it can be countered by Spikes and Jammer. The faster you go, the more damage it deals (Speed driven system)"
5AD3F25A,"ESF is the universal weapon that is mainly used with EMP or Shock Ram. It is useful against EMP and Mines but it can be countered by Spikes and Jammer. The faster you go, the more damage it deals (Speed driven system)"
5AD3F25B,"ESF is the universal weapon that is mainly used with EMP or Shock Ram. It is useful against EMP and Mines but it can be countered by Spikes and Jammer. The faster you go, the more damage it deals (Speed driven system)"
5AD3F25C,"ESF is the universal weapon that is mainly used with EMP or Shock Ram. It is useful against EMP and Mines but it can be countered by Spikes and Jammer. The faster you go, the more damage it deals (Speed driven system)"
5AE0CBC5,"You forgot about this, but its done"
5B5AA556,"The Shock Wave is like Shock Ram but instead of focused in front of your car, it forms a 360 blast that when perfectly timed - pushes away target coming at high speeds"
5B5AA557,"The Shock Wave is like Shock Ram but instead of focused in front of your car, it forms a 360 blast that when perfectly timed - pushes away target coming at high speeds"
5B5AA558,"The Shock Wave is like Shock Ram but instead of focused in front of your car, it forms a 360 blast that when perfectly timed - pushes away target coming at high speeds"
5B5AA559,"The Shock Wave is like Shock Ram but instead of focused in front of your car, it forms a 360 blast that when perfectly timed - pushes away target coming at high speeds"
5B5F4940,"SKILL ISSUE"
5B950E9E,"Created by Zephyr"
5C668108,"1v1"
5C91593F,"My russia rush B ENF"
5CD36F46,"Got Flashbanged"
5D37D49E,"Report their NSFW pfp"
5D8C0885,"Check some info about Better Rivals text"
5DC9F7F1,"  BECOME THE RACIST"
5DDCF703,"The good ol' Spikes dont really need introduction but they are deployed from back of your car - unlike Hot Pursuit, they slide for second or 2 and can hit multiple targets."
5E44193B,"NUH-UH"
5E9886EC,"Start Hell"
5F26BBBA,"Bro is escaping..."
61CA4054,"And so the Heated Expand era has ended.  The Heated Rivals community (March-June) was a major help in forming a clan.   8 new members joined during that period  With enough dedication, everything is possible"
62082F8B,"Stun mine said no, cant blame it"
6247DE8B,"Start a  How clean can you drive?"
626FE851,"WARNING! ELECTRICAL OVERLOAD"
626FE90D,"You suck ass at dodging that"
62BFABF1,"The one that started it all"
632898D0,"The one that started it all"
63B404F5,"Ferrari Enzo"
63FFF1B3,"You jammed {0:s}'s Spike Strip"
645E44EC,"MUSTANG GT from Payback"
648DF25B,"You got lucky with that escape"
64EC2928,"Finished Hot Pursuit"
65D3A7A8,"You know the drill, dont die and win"
662F2E04,"Dark shit is darker - Ambient Occlusion  Your choice, shouldnt have impact on anything. HBAO doesnt work in vanilla - use Rivals+"
670672B1,"Race shut down"
67ACAAFE,"""Heated"" Releases"
67D42329,"Go back?"
6843C43D,"Targets:"
68949DF8,"Get the fuck out"
6895EBF1,"Please shut the fuck up"
68B4DC12,"Priority Blacklist "
68C16452,"The moment of silence...  Grabuss came around with Rivals+ X Heated trailer - which positively impacted the clan! It managed to bring many new clanmates, as well made the discord server hit 100 members!  The slogan for V5 MP Compatible: ""All about combat"""
68C245EE," How fast can you drive's?"
69E4EE79,"Speedruns done"
6A7B4588,"Useless Roadblock"
6BA843D9," WHAT KIND OF RECOMMENDATIONS?"
6C268BE9,"Fujara"
6C844F30,"No."
6CBD2E0E,"Stun mine countered by {0:s} with Jammer/ESF"
6CFBCAFB,"New Speedrun"
6D4A9F32,"[HARD] Middle - South"
6D4A9F57,"[MED] Trololololo Pass"
6DD49012,"Stun Mines deployed behind your car, causes loss of control and overloads the elecrtrical systems. Counters EMP, but can be countered by ESF and Jammer"
6DD49013,"Stun Mines deployed behind your car, causes loss of control and overloads the elecrtrical systems. Counters EMP, but can be countered by ESF and Jammer"
6DD49014,"Stun Mines deployed behind your car, causes loss of control and overloads the elecrtrical systems. Counters EMP, but can be countered by ESF and Jammer"
6DD49015,"Stun Mines deployed behind your car, causes loss of control and overloads the elecrtrical systems. Counters EMP, but can be countered by ESF and Jammer"
6DFF04B6,"Dodge Boat 2.0 UC"
6E3E4401,"Drive better"
6E941155,"Tried to attack racers"
6F022919,"FUCK YOU"
6F04A9C3,"Cops know where you are"
6F0D5C1F,"Never gonna give you up, Never gonna let you down, Never gonna run around and desert you, Never gonna make you cry, Never gonna say goodbye, Never gonna tell a lie and hurt you"
7008001A,"ESF countered by {0:s}"
72FDDBF5,"Here we go again..."
73562E0E,"New Speedrun"
7381D9DA,"Fuck you."
7458CCDC,"CAYMAN S (make it pink)"
7532B308,"Blacklist"
756A52FF,"LEVEL OF HEATED {0:s}/10"
75F48014,"Youre about to say bye bye to all your settings, and they will be default. You wanna do that?"
769891DF,"You can drive with Turbo"
76C64995,"Powah"
788BDE39,"Targets remaining"
79303478,"OverWatch  OverWatch is a mini game on Need for Speed™ Network which allows you and your Origin Friends to join each other's multiplayer world and interact with each other from your mobile, tablet or the web to continue the Rivalry. Help your friends by deploying certain abilities into their game. You can turn OverWatch off at any time in the Need for Speed™ Rivals settings menu. AND ITS FUCKING DEAD (like NFS Network)"
79326816,"The one that started it all"
794359E7,"GARAGE"
799B54F5,"Newbie UC"
79F5642A,"Stalker"
7A2C9166," How clean can you drive's?"
7A39807A,"You know how it works, so lets shorten it  Free for all - anyone can join, unless they are kicked  Heated game - only friends and Heated members can join  Private - no one can join, invite only  Single player - do it solo"
7A9E2AE4,"{0:s} - Kill confirmed"
7B60AD0D,"FOLLOWING"
7B6BF32D,"Racist killer"
7B8A4E7C,"WTF is kilometer"
7BBB7FAB,"HEATED MEMBERS"
7CAEA117,"Its finally done"
7D51C02A," How fast can you drive?"
7D622A17,"DRIVE BETTER WITH ESF"
7E364934,"Drive faster than clock, or else"
7EC79C4B,"Private"
7EDFD71C,"We remember"
7EF1A6F7,"Speedrun"
7FBFE6F8,"Level 1 is the worst shit that you can use, upgrade it please"
7FBFE6F9,"Level 2 makes the Turbo last longer, more fun!"
7FBFE6FA,"Level 3 further increases adrenaline by making Turbo last longer"
7FBFE6FB,"Level 4 is the most adrenaline you can get from Turbo, the powerul boost will make your car even faster!"
7FD133D6,"Are you lucky today?"
80CC76ED,"Newer releases"
821C1273,"Heated awaits. Join today."
821C1274,"0.4 AllDrive fixes issues from previous releases"
82A4459C,"  MAIL"
82C83D18,"Plate"
82FFB722,"Drop in?"
8341F0DE,"EMP failed"
843E1A4A,"Stalk their profile, you weirdo"
84563D34,"Grand Theft Auto"
847A163F,"Was {0:s}'s EMP less than 6s? Thats cheating"
847A16FB,"Hit with ESF by {0:s}"
84AAF742,"Drop in"
84D67C52,"Welcome! Here you will learn how Better Rivals Text has been created. You will also learn more about Zephyr (The Dev), Heated, and others!"
852E3F17,"  SWITCHIN STORY?"
856D1BD6,"{0:s} is available"
8669303C,"You shall not pass, because it doesnt exist or you got kicked lmao"
868BF469,"You have it"
86A3D039,"Drive till finish"
87A9F3C0,"Speedrunner"
87FFDE4E," kept. Better luck next time... "
8812E09F,"Koenigsegg Speedrunner"
8870F8CF,"RAP SHEET"
88B9124E,"  USELESS"
88E47591,"1v1"
895AFD76,"Racers killed"
89D95FF9,"Cars that have tech"
8A43A36B,"Jammed"
8AFDF937,"Sorry bro, youre on your own. Switch sessions, or ask someone to join?"
8B67686B,"  DEAD"
8BAC9151,"Max"
8BEF3F75,"Dont try turbo on it"
8C128FC9,"Result"
8CB68714,"  TECH"
8CDBF6AA,"Version 0.4 is about AllDrive Next release coming soon..."
8CDBF6AB,"Use HardDrive to restart and then regret your life choices"
8CDBF6AC,"HardDrive is useless when it comes to unlocked events who tf uses it to do that?"
8CDBF6AD,"""...Rivals uses the Frostbite 3 engine.[3] The development team opted to target 30 FPS across all platforms instead of 60 FPS, because of the AllDrive feature."" Source Wikipedia"
8D4D0E5B,"Lock on disrupted!"
8DB80180,"Start How fast can you drive?"
8E09F215,"DRIFTIN'"
8ECB4B4C,"The Turbo boost system doesnt need introduction, are you ready for the boost of adrenaline that is very hard to control? Of course you are!"
8ECB4B4D,"The Turbo boost system doesnt need introduction, are you ready for the boost of adrenaline that is very hard to control? Of course you are!"
8ECB4B4E,"The Turbo boost system doesnt need introduction, are you ready for the boost of adrenaline that is very hard to control? Of course you are!"
8ECB4B4F,"The Turbo boost system doesnt need introduction, are you ready for the boost of adrenaline that is very hard to control? Of course you are!"
8F1D063B,"How fast can you drive? Finished"
8F7AEB39,"Driving like woman"
8F812601,"[HARD] The Grand Tour"
8F812623,"[HARD] Middle - East"
8FBEC9DF,"Koenigsegg Speedrunner"
9015CC5B,"Koenigsegg Speedrunner"
911912F3,"GOOO!!"
9126D343,"Nitro went to waste"
912FB2DF,"You wanna help Heated if its not full?"
91B892F2,"Jammer is the ultimate weapon for pros if players combine it with Turbo, they are hard to get"
924741FA,"Cop"
92CFEC22,"The Electromagnetic Pulse (EMP) locks onto the target, and hits it with the pulse which gives funny results. Default lock on - 6s"
92CFEC23,"The Electromagnetic Pulse (EMP) locks onto the target, and hits it with the pulse which gives funny results. Default lock on - 6s"
92CFEC24,"The Electromagnetic Pulse (EMP) locks onto the target, and hits it with the pulse which gives funny results. Default lock on - 6s"
92CFEC25,"The Electromagnetic Pulse (EMP) locks onto the target, and hits it with the pulse which gives funny results. Default lock on - 6s"
92E145BC,"Speedrunner"
934A329B,"Koenigsegg Speedrunner"
939ABCB3,"  PLATES"
93EF4179,"FUCK GO BACK"
94213748,"Newbie ENF"
94AE3215,"Speedlists done"
952BD12A,"Report plates"
956A5FD4,"  MAIN SETTINGS"
95D34D24,"Racers that were better than you"
96DAFE87,"YOU CAN DO BETTER"
9774C582,"WatchOver"
97769F77,"Niemiec to musi miec celownik"
97A61871,"User quit"
97CA1EBE,"Level 1 is the worst shit that you can use, upgrade it please"
97CA1EBF,"Level 2 makes the Mine deal slightly more damage, has shorter recharge and more ammo"
97CA1EC0,"Level 3 further increases the damage from Stun Mines"
97CA1EC1,"Level 4 Mine is the greatest counter to those bots, buts also pointless"
980D8978,"6th element (Carbon)"
9846522B,"Try dodging better next time"
98842292,"The Zephyr car"
98A7407F,"It stings and its gray"
98C928A8," How clean can you drive?"
991E82AC,"My russia rush B UC"
991ED38D,"My russia"
99845B21,"HIDEOUT"
9ACDA92F,"Priority blacklist"
9AD7B33C,"What will be in future?  No one knows, but you know the story of Heated. I am very happy that you spent the time reading all that. This is an 11yr old game, but it is still alive. Heated united those that enjoy PVP.  We are Heated. We await you, Join today. - By -Heat-The_Zephyr"
9B9D1267,"Sorry bro, ask them to kick someone if they are hosting"
9BAB497B,"But all things have their end...  Heated experienced the era where barely anyone played. It was a very hard month, many left not so many joined... Those were very hard times, at some point Zephyr wanted to close the clan.  That wasnt the end."
9BB9BF54,"BMW M3 GTRn't"
9BDE8DDD,"The idea"
9C230796,"Start Hot Pursuit"
9CAD9F53,"Got those wheels"
9D0260C3,"IM FUCKING DYING"
9D43A1C9,"{0:s} said no to your spikes"
9D7FC627,"Fuck-o-meter"
9E1D166E,"Sav annoyer incomming"
9E4C9665,"You sure that there are no Blacklist members?"
9E9AB2B1,"How clean can you drive? started"
9F412126,"Finish"
9FCADFE7,"Grand Theft Auto"
A18DD7AE,"Start Race"
A1C6EBF2,"Annoying fuck"
A1FE7F9F,"Speedrun"
A269D006,"Got that gold"
A28C8317,"Health"
A2B41AF9,"Level 1 is the worst shit that you can use, upgrade it please"
A2B41AFA,"Level 2 gets you slightly bigger Spikes to annoy everyone with better effect"
A2B41AFB,"Level 3 Spikes are even more annoying and harder to dodge, even dodge cant dodge them!"
A2B41AFC,"Level 4 gives you the most annoying, longest and most damage dealing Spikes ever - So, gonna spam them?"
A3614E9C,"The Jammer is the ultimate weapon against Cops and Racers, used when youre about to die gives you 99% chance of not dying. Turbo, ESF, Shock Ram, Shock Wave, Spikes, Mines are basically useless for a while. Perfect weapon for those that can drive well"
A3614E9D,"The Jammer is the ultimate weapon against Cops and Racers, used when youre about to die gives you 99% chance of not dying. Turbo, ESF, Shock Ram, Shock Wave, Spikes, Mines are basically useless for a while. Perfect weapon for those that can drive well"
A3614E9E,"The Jammer is the ultimate weapon against Cops and Racers, used when youre about to die gives you 99% chance of not dying. Turbo, ESF, Shock Ram, Shock Wave, Spikes, Mines are basically useless for a while. Perfect weapon for those that can drive well"
A3614E9F,"The Jammer is the ultimate weapon against Cops and Racers, used when youre about to die gives you 99% chance of not dying. Turbo, ESF, Shock Ram, Shock Wave, Spikes, Mines are basically useless for a while. Perfect weapon for those that can drive well"
A38BE7CD,"Speedrun started"
A4816E0C,"{0:s} cant drive for shit, but got lucky with that Heli"
A4C5DE45,"Youre about to escape cops, or are you?"
A539CA7C,"Beat or not to beat? choice is yours"
A5447479,"Go Private"
A69E5A7B,"Live in Full?"
A6E4566A,"Fuck go back"
A6E8F5C9,"LET ME INNNN"
A6F48BF5,"How clean can you drive?"
A78171B8,"Better Rivals Text info"
A7875240,"Go for that 100%"
A835AECB,"Private"
A960ACDC,"R8, is modern"
A9C999BB,"Audi R8 Coupé V10 pro max ultra 5g 120fps"
A9EBA6CD,"The good ol' Spikes dont really need introduction but they are deployed from back of your car - unlike Hot Pursuit, they slide for second or 2 and can hit multiple targets."
A9EBA6CE,"The good ol' Spikes dont really need introduction but they are deployed from back of your car - unlike Hot Pursuit, they slide for second or 2 and can hit multiple targets."
A9EBA6CF,"The good ol' Spikes dont really need introduction but they are deployed from back of your car - unlike Hot Pursuit, they slide for second or 2 and can hit multiple targets."
A9EBA6D0,"The good ol' Spikes dont really need introduction but they are deployed from back of your car - unlike Hot Pursuit, they slide for second or 2 and can hit multiple targets."
A9F43542,"Plates"
AA1F2B37,"Boat"
AA75949F,"The moment of silence..."
AA881816,"Dodge Boat"
AB14A12A,"Unsafe frame setup"
AB19DB20,"Do it before: {0:s}"
ABC6F919,"Superleggera, peak Gallardo"
ABD6F530,"Watch out, Roadblock deployed"
