0010CE84,"Single player it is?"
0A0EEACA,"Use camera when doing 180s Unless you want to risk getting killed"
0A0EEACB,"As a cop; turn on sirens for WIIU WIIU That shit is annoying, turn it off when not needed"
0A106467,"ESF hits: {0:s}"
0AF4BC27,"LESS"
0B021CC6,"Nah fuck that"
0B0C1D37,"Deployed roadblock, dodge it"
0B8C7850,"Grind racer There are 61 ranks, and Zephyr done them all"
0B8C7851,"Grind cop There are 61 ranks, and Zephyr done them all"
0B8C7852,"Continue playing Rivals Join Heated, we await you"
0B8C7853,"Continue playing Rivals Join Heated, we await you"
0B8C7854,"You need to be 21lvl (completed story) on cop to join Heated"
0B8C7855,"You need to be 21lvl (completed story) on racer to join Heated"
0B8C7856,"The higher you go, the riskier it gets"
0BE8B3EE,"I AM SPEED"
0C4ED41E,"You know what to do"
0C95A994,"1v1 race started"
0CCAF8AE,"You made it through, somehow"
0D95BFC6,"Im flying: {0:s}/{1:s}"
0D970D77,"FUCK YOU +{0:s}"
0DA7CF37,"SELECT HEATED MEMBER"
0E5E91CF,"Fuck you, you got banned. We dont care about you, next time dont fucking cheat lol."
0E70E0C7,"Main volume"
0EA0E2BE,"No changes to Speedrun (you suck)"
0EF02A7F,"Driftin'"
0EFF2D80,"CHOOSE TARGET"
0F70C57A,"Startin' in:"
0F84A6FE,"Targets in session"
0F8C1682,"Try to avoid roadblock"
1047EAA2,"Kill confirmed"
10A956BF,"Escape the Fucker"
10C632D3,"Driftin'"
10FBA042,"Imagine losing to a bot"
130397D5,"M3 GTRn't"
136C84B4,"BMW M3 GTRn't"
13B29AA2,"How fast can you drive?"
15FEABD4,"YOU SURE?"
16C0DB9E,"Hit"
1743F6C9,"0 to 100"
17DD0721,"Racer"
18E1F4CB,"HE SUCKS ASS LOL"
194B8F72,"We decided to disconnect you, because fuck you. Go back to hideout and do the rest."
19AEC773,"Vanish"
19DAEFAB,"Money that will get taxed:"
19DB5C79,"Grand Theft Auto"
19E4DEC5,"Who uses this?"
19E6AB3F,"Set your input and output, but know that it doesnt work. And Rivals will track you or something (idfk, seems sketchy bro)"
1A0CC7CB,"Flashbang setup"
1B6A50AE,"Host migration time!"
1B835DA8,"Agera R - Killer"
1BC02FC3,"Nice! Took you long enough to find this. Youre #{0:s} on the Speedwall"
1D19B8C9,"Scan this QR Code to see the worst modern NFS game page"
1D4DD1DF,"Nitro"
1D7A4B71,"SHITTIN' MINES"
1D89AD1B,"THEY CANT DO SHIT NOW"
1D91007C,"GO GO GO!"
1DE98694,"You wanted to beat {0:s}'s Heli spikes? You failed, terribly"
1E297807,"Repaired"
1E438BC5,"YOURE ABOUT TO DIE"
1EDC4CE0,"YOU GET NO BITCHES"
1FD6D665,"EU or USA?"
1FFF3478,"Nice! Took you long enough to find this. Youre #{0:s} on the Speedwall"
218ED5B5,"Change AllDrive settin'"
21F46F96,"Version 0.3a1 - Garage release"
225C6792,"Lost that car, i hope that boss wont deduct from our salary..."
227EE9AD,"Repaired"
22C60F4C,"Fuck you."
2360ACA6,"How fast can you drive's?"
249A4984,"Go higher if you want PS4 graphics, go lower to get that PS3 feeling"
24A5310B,"Target hit"
252AF9AF,"Heated awaits..."
258BA9D6,"This will reset everything to max volume, so be careful"
2597F225,"Multi"
261DDB68,"Start interceptor"
272F7873,"SKILL ISSUE"
2789C5BD," How fast can you drive's?"
27BAAC5E,"Fucked up?"
281EF1D2,"IM FUCKING DYING"
287A328E,"Overwatch locked"
28A93C0F,"Finish"
28E31F6D,"Maserati Overwatch"
28FF1C0A,"Drop in"
2900BF2B,"Nice hit on {0:s} with a Spike Strip"
292BC4B0,"FLYIN'"
295EB19B,"Heated game"
29B54F0C,"Try not to hit the walls, traffic and other shit that will slow you down, or else"
2A6B7078,"PLATES"
2AFDF7EE,"YOU SURE?"
2BA2BE03,"See those triangles in 4 corners? make em closer i guess"
2BCE8978,"Roadblock Failed, but what would you expect?"
2C7AFA70,"{0:s} - Kill confirmed"
2DDCDBFD,"FUCKING SPIKES"
2E933356,"Race"
2E9FBAD8,"Said no to {0:s}'s Stun Mine"
2FE2F129,"You suck ass, no improvement in Speedrun"
3030CCF6,"DO NOT CLICK THIS"
30F78133,"Koenigsegg Speedrunner ENF"
31A09DEB,"Go back to default (why?)"
31A5DAAD,"Buy this shit?"
31B02083,"The cop killer"
31C85F85,"No turbo :("
3250305B,"Cars maxed out"
330173F1,"Start How clean can you drive?"
34487715,"  SWITCHIN STORY?"
3507DB79,"Set volume of SFX (Includes voices, car vroom vroom and other shit)"
35D41F3E,"Chapter 16 btw"
3607D9FE,"Selfexplainatory, either turn em on or off. Fun fact: Japanese doesnt have subtitles lol"
36AA63B3,"Outran the cops"
36C3392C,"Startin"
377875DF,"Useless report"
378139C2,"Jammer on"
38CDF0C8,"Repair shops are for pussies when youre doing 1v1"
38CDF0C9,"You can start event with others, that doesnt apply to interceptors tho"
38CDF0CA,"HardDrive is useful if you need to repair"
38CDF0CB,"HardDrive isnt useful when you need to get to Hideout or Command Post (because you remember where it is anyway)"
38CDF0CC,"Do you have eyes? Repairs are shown on minimap - the closest one"
38CDF0CD,"Do you have eyes? Command Posts and Hideouts are shown on minimap - the closest one"
38CDF0CE,"When dropping in You can choose where to drop (wow) and it can be on events as well"
38CDF0CF,"Did you know that you can use map to locate other 5 players?"
38CDF0D0,"Map has filters, who uses them anyway?"
38CDF0E8,"You can set routes using HardDrive"
38CDF0E9,"You can set routes using map"
38CDF0EA,"Routes are green Thats it, thats the tip"
38CDF0EB,"Heated has been wrecking cheaters since February 2024"
38CDF0EC,"This mod took me ages to create so enjoy silly messages i put here and there"
3989333B,"REPAIRED"
39CD1FC0,"You know what motion blur is. Some like it, some dont. I do, judge me"
3B0DAE54,"Said no to {0:s}'s Helicopter Spike Strip"
3B53946E,"Executive Producer of Ghost Games"
3D16ECBA,"This mf will reset yo graphics to default, you sure?"
3DA93F48,"(Maxed out by default)"
3DABB9C5,"Heated awaits"
3DE0A08F,"  CHANGE CAR"
3E0C74CB,"Shadows from front"
3E2E0577,"That Roadblock was useless lol"
3E48C553,"Event ended by user"
3F0BE285,"FUCKING SPIKES"
404F585D,"Nice Sav annoyer hit with Spike Strip"
407282B5,"Jammer countered? how?"
41262C59,"Dropping out? Pussy"
420C0021,"Hellstarted"
42273CA5,"Racer"
42399821,"{0:s} has rage quit from Race"
428DD183,"Go back?"
42F10461,"Time is runnin'!"
43504A18,"Looking for Agera?"
43626967,"Hit that while i hit this"
439789A3,"Map - drop in"
4399BAC9,"  RAP SHEET"
4399F607," GIVE US YOUR MONEY"
440727D8,"Broken"
443502D1,"Max level gives you the most features, least likely to bug out and other shit. Its EMP bro"
45E4BE28,"Got that gold"
4A671652,"Possible escape"
4A82E508," How clean can you drive?"
4A927667,"Dodge"
4BB44908,"Here we go..."
4BD5A6EC,"Speedruns"
4C732850," How fast can you drive?"
4C76F323,"Anoy"
4CB04F49,"Racer Hunter ENF"
4CE7A6B3,"YOU CANT DRIVE FOR SHIT BRO"
4CE9F743,"Do it before: {0:s}"
4CF76568,"Drop out with {0:s} ?"
4D3AE10C,"Next time dodge them"
4E09E646,"1v1 race started"
4E5A4DF3,"Lookin for session..."
4E735312,"Tech 1"
4E735313,"Tech 2"
4EA713B0,"no."
4F7B8EFC,"Unsafe Frame Setup"
4FB81589,"Cops killed"
4FC34147,"Dropping out? Pussy"
4FF99594,"Speedrunner"
502CAF72,"  PERSONALIZATION"
50628273,"Koenigsegg Speedrunner ENF"
50E97CED,"Back to action"
518CDE2F,"  NFS™ NETWORK IS DEAD"
524A9E21,"Hot Pursuit Started, you know what to do"
52CCC41B,"Heated game"
534DA4AF,"Free for all"
55D5C514,"Heated or Hetd"
56A975DE,"Slow down dude, too many Roadblocks at once"
579371EC,"Drove for"
57FBEC05,"USELESS"
58298949,"You can set volume of music - max gives you copyright strikes for music! How fun!"
583334A2,"{0:s} - Kill confirmed"
59213605,"Maxed out Shockwave is crucial to kill your targets."
59AE570A,"COMMING"
59F67EB1,"Result from current play"
5A431D22,"DEAD BECAUSE OF EA APP"
5A4C9378,"COLORS GO BRRR"
5AB297FD,"ESF on"
5B5F4940,"SKILL ISSUE"
5B950E9E,"Created by Zephyr"
5C668108,"1v1"
5CD36F46,"Got Flashbanged"
5D37D49E,"Report their NSFW pfp"
5DC9F7F1,"  BECOME THE RACIST"
5E44193B,"NUH-UH"
5E9886EC,"Start Hell"
5F26BBBA,"Bro is escaping..."
62082F8B,"Stun mine said no, cant blame it"
6247DE8B,"Start a  How clean can you drive?"
626FE851,"WARNING! ELECTRICAL OVERLOAD"
626FE90D,"TRY DODGING NEXT TIME"
63FFF1B3,"You jammed {0:s}'s Spike Strip"
645E44EC,"MUSTANG GT from Payback"
648DF25B,"You got lucky with that escape"
64EC2928,"Finished Hot Pursuit"
65D3A7A8,"You know the drill, dont die and win"
662F2E04,"Dark shit is darker - Ambient Occlusion  Your choice, shouldnt have impact on anything. HBAO doesnt work in vanilla - use Rivals+"
670672B1,"Race shut down"
67D42329,"Go back?"
6843C43D,"Targets:"
68B4DC12,"Priority Blacklist "
68C245EE," How fast can you drive's?"
69E4EE79,"Speedruns done"
6A7B4588,"Useless Roadblock"
6BA843D9," RECOMMENDATIONS? WHA?"
6C268BE9,"Fujara"
6C844F30,"No."
6CBD2E0E,"Stun mine countered by {0:s} with Jammer/ESF"
6CFBCAFB,"New Speedrun"
6D4A9F32,"[HARD] Middle - South"
6D4A9F57,"[MED] Trololololo Pass"
6E3E4401,"Drive better"
6E941155,"Tried to attack racers"
6F022919,"FUCK YOU"
6F04A9C3,"Cops know where you are"
6F0D5C1F,"Never gonna give you up, Never gonna let you down, Never gonna run around and desert you, Never gonna make you cry, Never gonna say goodbye, Never gonna tell a lie and hurt you"
7008001A,"ESF countered by {0:s}"
72FDDBF5,"Here we go again..."
73562E0E,"New Speedrun"
7381D9DA,"Fuck you."
7458CCDC,"CAYMAN S (make it pink)"
7532B308,"Blacklist"
756A52FF,"LEVEL OF HEATED {0:s}/10"
75F48014,"Youre about to say bye bye to all your settings, and they will be default. You wanna do that?"
769891DF,"No hit Turbo, nice"
76C64995,"Powah"
788BDE39,"Targets remaining"
79303478,"OverWatch  OverWatch is a mini game on Need for Speed™ Network which allows you and your Origin Friends to join each other's multiplayer world and interact with each other from your mobile, tablet or the web to continue the Rivalry. Help your friends by deploying certain abilities into their game. You can turn OverWatch off at any time in the Need for Speed™ Rivals settings menu. AND ITS FUCKING DEAD (like NFS Network)"
794359E7,"GARAGE"
79F5642A,"Stalker"
7A2C9166," How clean can you drive's?"
7A39807A,"You know how it works, so lets shorten it  Free for all - anyone can join, unless they are kicked  Heated game - only friends and Heated members can join  Private - no one can join, invite only  Single player - do it solo"
7A9E2AE4,"{0:s} - Kill confirmed"
7B60AD0D,"FOLLOWING"
7B6BF32D,"Cop bot"
7B8A4E7C,"WTF is kilometer"
7BBB7FAB,"HEATED MEMBERS"
7CAEA117,"Its finally done"
7D51C02A," How fast can you drive?"
7D622A17,"DRIVE BETTER WITH ESF"
7E364934,"Drive faster than clock, or else"
7EC79C4B,"Private"
7EF1A6F7,"Speedrun"
7FD133D6,"Are you lucky today?"
82A4459C,"  MAIL"
82C83D18,"Plate"
82FFB722,"Drop in?"
8341F0DE,"EMP failed"
847A163F,"Was {0:s}'s EMP less than 6s? Thats cheating"
847A16FB,"Hit with ESF by {0:s}"
84AAF742,"Drop in"
852E3F17,"  SWITCHIN STORY?"
856D1BD6,"{0:s} is available"
8669303C,"You shall not pass, because it doesnt exist or you got kicked lmao"
868BF469,"You have it"
86A3D039,"Drive till finish"
87A9F3C0,"Speedrunner"
87FFDE4E," kept. Better luck next time... "
8812E09F,"Koenigsegg Speedrunner"
8870F8CF,"RAP SHEET"
88B9124E,"  USELESS"
88E47591,"1v1"
895AFD76,"Racers killed"
89D95FF9,"Cars that have tech"
8A43A36B,"Jammed"
8AFDF937,"Sorry bro, youre on your own. Switch sessions, or ask someone to join?"
8B67686B,"  DEAD"
8BAC9151,"Max"
8BEF3F75,"Dont try turbo on it"
8C128FC9,"Result"
8CB68714,"  TECH"
8CDBF6AA,"Version 0.3 is about Garage UI changes, funny Next release coming soon..."
8CDBF6AB,"Use HardDrive to restart and then regret your life choices"
8CDBF6AC,"HardDrive is useless when it comes to unlocked events who tf uses it to do that?"
8D4D0E5B,"Lock on disrupted!"
8DB80180,"Start How fast can you drive?"
8E09F215,"DRIFTIN'"
8F1D063B,"How fast can you drive? Finished"
8F7AEB39,"Driving like woman"
8F812601,"[HARD] The Grand Tour"
8F812623,"[HARD] Middle - East"
8FBEC9DF,"Koenigsegg Speedrunner"
9015CC5B,"Koenigsegg Speedrunner"
911912F3,"GOOO!!"
9126D343,"Nitro went to waste"
912FB2DF,"You wanna help Heated if its not full?"
91B892F2,"Jammer is the ultimate weapon for pros if players combine it with Turbo, they are hard to get"
924741FA,"Cop"
92CFEC22,"The Electromagnetic Pulse (EMP) locks onto the target, and hits it with the pulse which gives funny results. Default lock on - 6s"
92CFEC23,"The Electromagnetic Pulse (EMP) locks onto the target, and hits it with the pulse which gives funny results. Default lock on - 6s"
92CFEC24,"The Electromagnetic Pulse (EMP) locks onto the target, and hits it with the pulse which gives funny results. Default lock on - 6s"
92CFEC25,"The Electromagnetic Pulse (EMP) locks onto the target, and hits it with the pulse which gives funny results. Default lock on - 6s"
92E145BC,"Speedrunner"
934A329B,"Koenigsegg Speedrunner"
939ABCB3,"  PLATES"
93EF4179,"FUCK GO BACK"
94AE3215,"Speedlists done"
952BD12A,"Report plates"
956A5FD4,"  MAIN SETTINGS"
95D34D24,"Racers that were better than you"
96DAFE87,"YOU CAN DO BETTER"
9774C582,"WatchOver"
97769F77,"Niemiec to musi miec celownik"
97A61871,"User quit"
9846522B,"Try dodging better next time"
98842292,"The Zephyr car"
98A7407F,"It stings and its gray"
98C928A8," How clean can you drive?"
99845B21,"HIDEOUT"
9ACDA92F,"Priority blacklist"
9B9D1267,"Sorry bro, ask them to kick someone if they are hosting"
9BB9BF54,"BMW M3 GTRn't"
9C230796,"Start Hot Pursuit"
9CAD9F53,"Got those wheels"
9D0260C3,"IM FUCKING DYING"
9D43A1C9,"{0:s} said no to your spikes"
9D7FC627,"OH NO"
9E1D166E,"Sav annoyer incomming"
9E4C9665,"You sure that there are no Blacklist members?"
9E9AB2B1,"How clean can you drive? started"
9F412126,"Finish"
A18DD7AE,"Start Race"
A1C6EBF2,"Annoying fuck"
A1FE7F9F,"Speedrun"
A269D006,"Got that gold"
A28C8317,"Health"
A38BE7CD,"Speedrun started"
A4816E0C,"{0:s} cant drive for shit, but got lucky with that Heli"
A4C5DE45,"Youre about to escape cops, or are you?"
A539CA7C,"Beat or not to beat? choice is yours"
A5447479,"Go Private"
A69E5A7B,"Live in Full?"
A6E4566A,"Fuck go back"
A6E8F5C9,"LET ME INNNN"
A6F48BF5,"How clean can you drive?"
A7875240,"Go for that 100%"
A835AECB,"Private"
A960ACDC,"R8, is modern"
A9C999BB,"Audi R8 Coupé V10 pro max ultra 5g 120fps"
A9F43542,"Plates"
AA1F2B37,"Boat"
AA881816,"Dodge Boat"
AB14A12A,"Unsafe frame setup"
AB19DB20,"Do it before: {0:s}"
ABC6F919,"Superleggera, peak Gallardo"
ABD6F530,"Watch out, Roadblock deployed"
AC2035BC,"{0:s} Deployed a Sav annoyer"
AC96B705,"  DONE KILLING?"
AD15B75F,"  CHANGING SESSION?"
AD2ACD89,"Targets"
AE8E0E3B,"Took you long enough"
AEDBC63B,"Drop out?"
B059F133,"  USELESS SPEEDLIST"
B0D1EF61,"Speedrunner"
B108AAEB,"The cooler 12C"
B13ADC40,"Koenigsegg Speedrunner UC"
B2C6AB9E,"SKILL ISSUE"
B3B0F15A,"Useless objectives:"
B3EC2F11,"Wanna read what they sayin?"
B4D0DAC0,"Chapter 10 btw"
B55AC144,"Leave"
B600E3F8,"Adjust the gamma of game i guess"
B6B563F4,"How fast can you drive? start"
B93F46CF,"  UPGRADES PEOPLE, UPGRADES"
B94D9B8F,"Keep in range..."
B94E1082,"Out of range!"
B95ADA54,"Better Rivals Text 0.3a2"
B9FA44F5,"DETECTED EMP LOCK ON"
BA2B7A1E,"Vroom vroomed for"
BC379D51,"Drop in?"
BCAD8730,"Upgrade tech if you dont want to die"
BCAD8731,"Those tips are useless, but you can improve your racer car performance. It costs Speed Points tho."
BCAD8732,"Getting new cars is fun But upgrading current is better"
BCAD8733,"Racers need money to get cars Cops get them for free"
BCAD8734,"Interesting... what would happen if Rivals had 4 tech slots?"
BCAD8735,"Speedpoints Racer is easy, Cop is hard"
BCAD8736,"Racers have turbo Combined with jammer they are a hard target to get"
BCAD8737,"Cops have useless roadblocks, as well as Helis that are annoying as fuck to jam"
BD60E296,"Speedrun #{0:s} Collected, you are #{1:s} on the Speedwall"
BD8B2443,"Events played"
BE06CFEB,"Get that 100%"
BF1B8FA5,"Last updated 30.06.24 R1pp3r_R3Ghost HenryLovesEMP hjmil Net_777_da Montecarlo777 Dutch 4DAN"
BF87A431,"Result"
BFC5233F,"[{0:s}] EMP hit confirmed"
BFC523FB,"Hit confirmed on {0:s} with an ESF"
BFF85BB9,"Time driving and killing"
C01DDC74,"No turbo on that one"
C02D92F9,"Go for it? You know what happens"
C0DA82E7,"Race shut down"
C18EFBFC,"Bust the Fucker"
C2123BFA,"  DROP IN"
C3BA7CA8,"Full screen or windowed, the choice is yours"
C4391F42,"You will die in:"
C4611897,"Hot Pursuit"
C4F60A83,"Try not to hit anything"
C50D4562,"The more you drive as racer the higher mutliplier "
C50D4563,"Racers can grind their mutliplier as they earn Speedpoints Coming back to garage resets it to X 1"
C50D4564,"The higher multiplier - the more cops Max is Heat 10"
C50D4565,"Racers can hide at any fucking time even when in pursuit"
C50D4566,"As a racer, the more cops the longer the pursuits"
C50D4567,"Go back to hideout to cash in what youve got"
C50D4568,"If you have been busted then you have skill issue"
C50D4569,"Fight (race) other racers with 1v1 race"
C50D456A,"Want to grind? You can change your shitty speedlist to different one"
C50D4582,"Dont like what youre doing in that speedlist? 100% will make you do it anyway"
C52DF96C,"DROPPED SPIKES"
C5571694,"Join Today"
C594EE71,"[HARD] Land of No Return"
C594EE74,"[HARD] Middle - North"
C66C9E13,"This is a text mod created by Zephyr. It includes changes ONLY to text, this is a small project which is fun (If version is replaced with Rivals+, this is the 0.3a2 release)"
C7674BBA,"Dropping out? Pussy"
C8808E59,"1v1 started"
C8B0693C,"UNAVAILABLE - JAMMED"
C9CE0E8D,"Drive till finish"
CA5851BA,"How clean can you drive?"
CA9C0F6B,"Stats"
CCF476FD,"Here we go"
CE3A56EF,"I dont know what it does, but it controls the dynamic range - slide to right if you wanna go loud, or left if you wanna go stealth (Payday players will understand). I have it on right, fun"
CEED9255,"LOOK FOR THE PERFECT ONE"
CF5BDD27,"Route set"
CF802C88,"RUN BEFORE TIMES DOES"
CFB3A06C,"How fast can you drive? Complete"
D09A4AC7,"SPIKES SAID NO"
D2DEFF71,"Hunter"
D36BDED9,"Broken"
D37A6A06,"M3 GTRn't"
D3E05F91,"[EASY] Middle - North"
D4D842D0,"New Speedrun"
D601309D,"Speedruns"
D69BBA0D,"Alldrive setting"
D6B6E85C,"JOIN?"
D82BEA42," How clean can you drive?"
D83EBF82,"Viper slow attack"
D8EFCD4B,"Kill the bot, or else."
D948B758,"Flashbang"
D9EE7061,"Lottery! Who will be hosting?"
DA84D2DB,"Escaped, just wait 2min"
DBD390CB,"Finished"
DBDD72B0,"Say bye bye to your "
DBF90C76,"ESCAPIN'"
DC502825,"Speedrunner"
DC6BA4B6,"Scroll down to level 16, it will be there  Heated awaits, join today"
DC8725F6,"Shock em"
DCB71A9E,"Higher quality = more effects, more lag if you have shitty gpu"
DDA932D5," How clean can you drive's?"
DEAF4C88,"Maxed out ESF is crucial to kill your targets."
E0C883C0,"The longer racer drives, the more speed points you get bro"
E0E4548A,"How fast can you drive's?"
E1081A71,"Go back?"
E133770C,"Look for your target on different session"
E155FFD2,"Choose your gang"
E170B0AF,"Free for all"
E18DE5C5,"Ready to kill?"
E2EC6B10,"RUN FOR YOUR LIFE"
E5070B57,"Killing racers is fun, max you can get it 20k Heat 10 for cop"
E5070B58,"I dont speak taco bell"
E5070B59,"Use undercover to be cooler"
E5070B5B,"Patrol cops are good for speed use One:1 Patrol to beat records"
E5070B5D,"Work smarter, not harder Avoid opponents attacks, and then strike back"
E5070B5E,"Rivals+ X Heated ""All about combat, now in Rivals+ Version 5"""
E5070B5F,"Every car is good, unless you suck ass"
E56D1394,"{0:s} drives like a moron and didnt see the flying Heli - Perfect hit"
E591894D,"Speedrunner"
E6D59293,"Go there"
E7091E9E,"Max level makes sure that racer will have the worst time in game. Use with causion (breaks friendships)"
E72ABA46,"  KILL ""RACISTS"""
E78CE669,"You wanna see pixelated wet textures or high quality?"
E7C527FF,"BEING A PUSSY"
E8101E43,"Heated awaits"
E84AABBD,"How fast can you drive? Finished"
E89C3081,"[HARD] The Grand Tour"
E89C30A3,"[HARD] Middle - East"
E978B14B,"Put Heated or something else, max 7 characters. Weird hm?"
EA07BA7D,"How fast can you drive?"
EA52C9E8,"Countered {0:s}'s EMP"
EA52CAA4,"You managed to forcefully turn off {0:s}'s ESF"
EABD47BC,"Hows your monitor?"
ECF330F8,"This one is interesting, you can go with more realistic approach where the headlights cast shadows, looks better but at cost of performance if you have shitty gpu"
EDB27441,"Youve been asked to 1v1"
EE155560,"Koenigsegg Speedrunner UC"
EE16CC2D,"youre normal"
EFC5F589,"Jumped in"
F001BB39,"This car doesnt have mirrors in movie as well"
F0381314,"YOURE ABOUT TO DIE"
F0603885,"Checkpoint"
F061DDD5,"DO NOT CLICK THIS"
F06AA818,"Mustang GT ""Need for Speed"" Movie"
F0CB294D,"Heated awaits"
F0D4FA13,"Max speed youve got"
F1B85CF9,"SKILL ISSUE"
F20A10F2,"Ready to kill?"
F3236EED,"HELL"
F3844F29,"I am speed"
F3BF13B3,"{0:s} cant drive for shit, and you hit em 100%"
F3D39000,"Max level lets you access to spam that fucking block until you run out of it. Have fun"
F51555D1,"Speedrunner"
F5E4B550,"  GRAPHICAL SETTINGS"
F6279569,"Cars you got"
F82D8DA2,"Speedrun started"
F9BB796F,"Stun mine hit on {0:s} confirmed (How they didnt dodge that?)"
F9C31B42,"said no to {0:s}"
FA1C0E49,"Watch out, Roadblock has been deployed"
FA5C296F,"You can call Heli (aka: Fucker or Sav annoyer). This flying shit will follow the target, making it annoying to escape from. You cant jam it."
FA5C2970,"You can call Heli (aka: Fucker or Sav annoyer). This flying shit will follow the target, making it annoying to escape from. You cant jam it."
FA5C2971,"You can call Heli (aka: Fucker or Sav annoyer). This flying shit will follow the target, making it annoying to escape from. You cant jam it."
FA5C2972,"You can call Heli (aka: Fucker or Sav annoyer). This flying shit will follow the target, making it annoying to escape from. You cant jam it."
FA64890D,"Yo money:"
FC3139D1,"Get access to the USELESS (when deployed by cops, not players) Roadblock. It has everything you want! Spikes, fucking cops, and that REZA thingy. Careful with it, try not to crash"
FC3139D2,"Get access to the USELESS (when deployed by cops, not players) Roadblock. It has everything you want! Spikes, fucking cops, and that REZA thingy. Careful with it, try not to crash"
FC3139D3,"Get access to the USELESS (when deployed by cops, not players) Roadblock. It has everything you want! Spikes, fucking cops, and that REZA thingy. Careful with it, try not to crash"
FC3139D4,"Get access to the USELESS (when deployed by cops, not players) Roadblock. It has everything you want! Spikes, fucking cops, and that REZA thingy. Careful with it, try not to crash"
FC96D108,"OH NO"
FCD0381C,"MF is about to outrun us, the fuck?"
FCFE4783,"Join today"
FD1AAC6F,"{0:s} hit you with Stun Mine (imagine)"
FD3B9E94,"Racers killed"
FDBAC428,"Hit confirmed on {0:s} "
FDBF6CD4,"Hit confirmed on {0:s}"
FDCABF7E,"{0:s} Deployed a Roadblock - do they know that 90% of time it doesnt work?"
FE97C588,"{0:s} most likely crashed or just rage quit"
FFCE6EEA,"Pursuit tech abused"
FFF31E24,"TOLD YOU ITS USELESS"
