0003F1DE,"SHOWROOM"
07CEE9E6,"Street race activity spotted on Driftwood Heights. Requesting support from units available in the vicinity."
07DA325E,"See you at the finish."
07DA325F,"Winner takes all."
07DA3260,"I'm the one to beat."
07EB4A36,"Higher level weapon clearance has been authorized."
07EB4A37,"Your weapon level clearance has been upgraded."
07EB4A38,"Be advised, your weapons clearance just got upgraded."
07EB4A39,"You've been authorized for higher level weapons clearance"
07EB4A3A,"Be advised, access granted to next tier weaponry."
07EB4A3B,"You're green lit for next level weapon deployment."
07EB4A3C,"Be advised, your weapon clearance just got upgraded."
07EB4A3D,"You are go for next grade weapon clearance."
082833FB,"Content"
082E4A61,"Complete 2x Rank 2 Speedlists"
083775D4,"The storage device was removed during use. Delete failed."
0837BB8F,"Control, we have a unit down"
0837BB90,"An interceptor just got thrashed. Requesting immediate R/A assistance."
0837BB91,"One of our units got wrecked."
0837BB92,"Unit down! We have a unit down!"
0837BB93,"Unit down, we're going to need more back up."
0837BB94,"Unit down, we need assistance on scene, over."
0837BB95,"Suspect just rammed a unit off the road."
0837BB96,"Dispatch, we just lost a unit."
0837BB97,"Be advised, we're a unit down."
0837BBAF,"We have a unit down."
0837BBB0,"Unit down."
0837BBB1,"Unit down. Dispatch, we're going to need more back up."
0837BBB2,"Unit down, we need assistance on scene, over."
0837BBB3,"Dispatch, we just lost a unit."
0837BBB4,"Be advised, we're a unit down."
083FFD3A,"Madagascar"
088C9D42,"Control, I've got a 10-44 here that just broke cover. Tracking the vehicle along Lagoon Trail."
088C9D43,"Just ID'd a Street Racer emerging onto Lagoon Trail."
088D1EFD,"I'm getting a race going on Sunset Tunnel."
088D1EFE,"New street race on Sunset Tunnel. Form a line if you're in."
088D1EFF,"Need a couple more Racers on Sunset Tunnel. We're trying to get a race going."
088D1F00,"I'm setting up a new race on Sunset Tunnel. Who's in?"
088D4D35,"Redwood County PD's Internal Affairs unit says it is expanding its investigation into excessive force accusations against members of the department."
088D4D36,"Sources close to the investigation say there's no limit to how far this case could reach in what is looking to be an epidemic."
088D4D37,"In a stunning turn of events this morning, Chief McGrath said he is suspending all patrols in the precinct that has been the primary target of the investigation."
088D4D38,"Internal Affairs says it is expanding its investigation into excessive force accusations against members of the department, and the Police Chief announced he is suspending all patrols."
088D4D39,"In the meantime, the FBI's Vehicle Response Team, the government's premiere vehicle interdiction unit, has been called in to secure the city until the police are cleared in the investigation."
088D4D3A,"In the meantime, the FBI's Vehicle Response Team, has been called in to secure the city until the police are cleared of wrongdoing."
088D4D3B,"Sounds like the cops won't be a problem any more."
088D4D3C,"The cops are the least of your worries.  VRT are the guys you really don't want to cross."
088D4D3D,"Who are they?"
088D4D55,"They're the crash team who broke up that gunrunning ring in Texas."
088D4D56,"Left three gang members dead and the rest in federal lockup."
088D4D57,"They're mostly ex-special forces, but they also recruit from the pro-racing circuit."
088D4D58,"Trust me, you don't want to end up on their hit list."
0895EF50,"{0:s} "
08AA8DC4,"Redview County"
08B0DCF3,"Single Player"
08CE7494,"Reached Cop Rank 40"
08D3DE96,"Cop Rank 40"
08D77EDE,"EVENTS"
08DCC789,"Counter Pursuit Tech {0:s} times"
08E0C129,"Control, target is stationary. Roadblock worked. Moving in to detain the suspect."
08E0C12A,"Dispatch, Roadblock has stopped the target. Closing in to apprehend."
08E0C12B,"10-44 halted by Roadblock. Moving to arrest the target."
08E0C12C,"He hit it, he hit the Roadblock."
08E0C12D,"A Racer just hit the Roadblock!"
08E0C12E,"Roadblock hit, Roadblock hit."
08E0C12F,"The suspect just ran into the Roadblock."
08E0C130,"Unit damaged, we have impact on the Roadblock."
08F63BDD,"OverWatch Red Camo"
08FBB7CE,"Maserati"
08FC5A12,"OverWatch Tourer"
09017A37,"Symbolic"
0929EF1B,"All units, possible Code 3 pursuit on Troll Pass."
0929EF1C,"All units, am pursuing a 10-41 on Troll Pass, looks like a possible Code 3 pursuit."
0929EF1D,"All units, possible Code 3 pursuit. I have a speeding vehicle that's ignoring lights on Troll Pass."
0929EF1E,"Dispatch, Dispatch, alert all units, I have a 10-41 on Troll Pass."
093FAE6F,"{0:s}/{1:s} earned from the tracker"
0942F985,"Headbutt"
0942F986,"Rogue Speed"
0942F987,"Outlaws"
0942F988,"Comic Skulls"
0942F989,"Green Eyes"
0942F98A,"Screaming Skull"
0942F98B,"Road Pirate"
0942F98C,"Skull King"
0942F98D,"Metal Helmet"
0942F9A5,"Snake Bite"
09456AA2,"Dispatch, this Code 3 is a serious danger, we have to have more back up, give us everything."
09456AA3,"Dispatch, this suspect isn't slowing. We've got to get back up and we've got to get it now. Give us everything."
09630C3A,"Drive faster than {0:s} for {1:s}"
096338C1,"New Porsche 918 Spyder livery: Cartoon Rivet"
096841C1,"The iron glove fits perfectly"
097D3290,"AUTOLOG FRIEND RECOMMENDATIONS"
097DDE94,"Trigger {0:s} Speed Cameras in a single Race"
09811F64,"We have a reported high speed felony on Grand Peak Drive. All units, stay alert."
09811F65,"Officer reporting target moving at high speed along Grand Peak Drive. All units respond."
09811F66,"All units near Grand Peak Drive, move to intercept a suspected 10-44."
099CD084,"Bronze or higher in a Race"
09AFDEB9,"New Pagani Huayra livery: Subtle Tiger"
09BC06AF,"Unlocked at Racer Rank 14"
09C30A4D,"He's moving fast along Interstate 1"
09C30A4E,"I'm chasing him down Interstate 1"
09C30E8E,"I'm making chance along Interstate 2"
09C30E8F,"We're moving fast along Interstate 2"
09C312CF,"We're heading down Interstate 3, over."
09C312D0,"Racer is quickly moving down Interstate 3."
09C31710,"I'm making chase along Interstate 4."
09C31711,"In on his tail, moving along Interstate 4."
09CCE9F5,"Suspect is fast on Lagoon Trail"
09CCE9F6,"Racer is moving quickly along Lagoon Trail."
09CE7457,"Koenigsegg"
09FFBAED,"Be advised, Dispatch, I've halted several 10-44s.  Arrests are in progress."
09FFBAEE,"Attempting to detain multiple suspects. I could do with some help out here, Control."
09FFBAEF,"Dispatch, I've reeled in multiple Racers. Moving in to apprehend the suspects."
0A33B133,"“Bright Lights”"
0A33B134,"Performed by The Naked and Famous"
0A33B135,"Written by Thomas B. Powers and Aaron Short"
0A33B136,"Published by Spirit Two Music o/b/o The Naked and Famous Publishing Designee"
0A33B137,"Recording courtesy of Polydor Ltd./Universal Records under license from Universal Music Enterprises"
0A3629E8,"CHANGE FACTION?"
0A374B7F,"Complete 2x Rank 11 Speedlists"
0A474E80,"Jaguar C-X75 Prototype ENF"
0A479F61,"Jaguar"
0A5D52A1,"BUY BRAND DECAL?"
0AD1473F,"Events played"
0AD9C411,"“Dynamo”"
0AD9C412,"Performed by Binary"
0AD9C413,"Written by David Troster"
0AD9C414,"Copyright Control"
0AD9C415,"Recording courtesy of Echoplex"
0AED9D5A,"Drift while in a Pursuit: {0:s} of {1:s}"
0AEED612,"{0:s} is jamming your tech"
0B05A51E,"Be advised, I'm tracking a named suspect emerging onto Sun Valley Run. I'm on him."
0B05A51F,"Control, I just ID'd a wanted vehicle exiting a building on Sun Valley Run."
0B0BE708,"Drowned Senses"
0B23A977,"Vanquish"
0B25BED9,"Target has thrashed their vehicle."
0B25BEDA,"Just witness a Racer in a TC. Yeah, that car's done."
0B25BEDB,"Control, I just had a Racer wreck in front of me."
0B25BEDC,"Control, got a 10-44 in a TC. Requesting tow and clean up."
0B4EB12C,"Headphones"
0B5B6072,"Control, I'm throwing down some spike trips to slow this guy down."
0B5B6073,"Dispatch, I'm attempting to slow down the suspect. Deploying Spikes."
0B5B6074,"Spikes deployed. Control, please advise following units."
0B5B6075,"Deploying Spike Strips to slow down the 10-44."
0B5B6076,"Control, I'm dropping spikes to slow this guy down."
0B5B6077,"I'm going to try a Spike Strip, over"
0B5B6078,"Be advised, am deploying a Spike Strip."
0B5B6079,"All units, am using a Spike Strip."
0B5B607A,"Be advised, I'm deploying a Spike Strip."
0B5B6092,"Dropping a Spike Strip."
0B5EA2EE,"Papua New Guinea"
0B6336C1,"Frostbite Team"
0B7C3A63,"Any progress in your current assignment will be lost. Are you sure?"
0B980617,"Fill the Nitrous meter to maximum"
0BAA7CD0,"Paint Rims"
0BABB334,"Jump #{0:s} Collected, you are #{1:s} on the Speedwall"
0BC139FF,"{0:s} of {1:s} Mountain time trials beaten"
0BC6B4F3,"Mandarin Green"
0BC6B4F4,"Mandarin Red"
0BC6B4F5,"Rubber Dux"
0BC6B4F6,"Mandarin White"
0BC6B4F7,"Mandarin Yellow"
0BC6B4F8,"Mandarin Block"
0BC6B4F9,"Freehand"
0BC6B4FA,"Splash Red"
0BC6B4FB,"Splash Yellow"
0BC6B513,"Mandarin Circle"
0BD45F92,"Side-Slam a Cop"
0BF5AF8C,"SHRAM"
0BFCAE57,"FF"
0BFEF2F4,"Ford GT"
0BFF43D5,"Ford"
0C05063E,"Heavy Metal"
0C11F9E9,"Jump {0:s} Total"
0C1999E3,"How do we find Zephyr if we don't know who he is?"
0C1999E4,"Same way you find a black hole."
0C1999E5,"You look for objects orbiting it."
0C1999E6,"When we came to Redwood City, our goal was to disrupt the racing network."
0C1999E7,"We did this by placing pressure on them, forcing them to band together to avoid extinction."
0C1999E8,"They thought teaming up would make them stronger, but it made them vulnerable."
0C1999E9,"They drew strength from their anonymity, and we took it away."
0C1999EA,"This was our plan all along."
0C1999EB,"Like a pack of wolves, we herded them together to make them easier to pick off."
0C199A03,"And now it's time to begin the culling, sir?"
0C199A04,"We have positively ID'd three known associates of Zephyr."
0C199A05,"They are using encrypted radios that ping whenever they communicate."
0C199A06,"The radios will show up on your map when in use, but you'll need to bust them while they are active or the radios are useless."
0C199A07,"If you can seize the radios and deliver them to our tactical operations center, our techs can break their encryption and locate Zephyr."
0C199A08,"If you can seize their comms, we can break their encryption and locate Zephyr."
0C3FD925,"You have no Friend Recommendations. Please try again later."
0C406BC6,"GT500"
0C4AD9FD,"Without boundaries there is only freedom."
0C5FF38B,"Negative on that 10-37 request. All air units already engaged."
0C5FF38C,"Air support denied. All Helicopter units already committed elsewhere."
0C5FF38D,"Air ship support is currently unavailable."
0C5FF38E,"Request denied. All air support already committed Code 3."
0C5FF38F,"That's a negative on that request. All air ships already Code 3."
0C61DA41,"Jump {0:s}: {1:s}/{2:s}"
0C6CD280,"Lamborghini Miura Concept"
0C6D2361,"Lamborghini"
0C7CD102,"Update Email Address"
0C935B07,"Vibration"
0C9636BF,"Suspect car reported to be green in color."
0C9636C0,"Officers reporting suspect vehicle is green."
0CC93ACC,"Dispatch, Spike Strip missed. Pursuit continues."
0CC93ACD,"Spike Strip unsuccessful. 10-44 still moving at speed."
0CCB93FB,"VIPER GTS"
0CD81895,"[HARD] Loose Ends"
0CD81896,"[HARD] Know Your Enemy"
0CD81897,"[MED] Protect and Serve"
0CD81898,"[HARD] Stem The Tide"
0CD81899,"[EASY] Out Of Line"
0CD8189A,"[MED] End of the Line"
0CD8189B,"[MED] Hard Target"
0CD8189C,"[HARD] Wind Up"
0CD8189D,"[HARD] Hit Them Hard"
0CD818B5,"[EASY] Negotiations Over"
0CD818B6,"[EASY] Routine Bust"
0CD818B7,"[HARD] No Prisoners"
0CD818B8,"[EASY] No Holds Barred"
0CD818B9,"[HARD] No Excuses"
0CD818BA,"[HARD] Out In The Open"
0CD818BB,"[HARD] Brute Force"
0CD818BC,"[MED] Battlling Brass"
0CD818BD,"[EASY] Wrecking Crew"
0CD818BE,"[HARD] Fight It Out"
0CD818D6,"[MED] Clean Shot"
0CDECE22,"A Street Racer just went straight through us, Roadblock breached."
0CDECE23,"Negative on Roadblock, Racer went through the block."
0CDECE24,"Negative on block, street race went right through us."
0CDECE25,"Suspect went straight through the Roadblock."
0CDECE26,"Roadblock failed, Code 3 suspect blew right through."
0CDECE27,"All pursuit units, Roadblock unsuccessful, continue Code 3, over."
0CE43E67,"Prologue"
0D14C98F,"All units, possible Code 3 pursuit on Sun Valley Run."
0D14C990,"All units, am pursuing a 10-41 on Sun Valley Run, looks like a possible Code 3 pursuit."
0D14C991,"All units, possible Code 3 pursuit. I have a speeding vehicle that's ignoring lights on Sun Valley Run."
0D14C992,"Dispatch, Dispatch, alert all units, I have a 10-41 on Sun Valley Run."
0D2DB455,"Copy that. I'll advise on updates, over."
0D2DB456,"Copy that, anything further, over?"
0D2DB457,"Dispatch, pursuit is continuing."
0D2DB458,"Dispatch, Code 3, we have confirmation on pursuit, over."
0D2DB459,"Dispatch, Code 3 continues, he's not responding."
0D310839,"Get {0:s} hits with the EMP"
0D3480DA,"SRT Viper GTS"
0D383FAB,"EasyDrive Up"
0D432360,"Just ran past a LEO making an arrest."
0D432361,"Just saw a cop pulling one of us over."
0D432362,"Cop at my twenty just pulled over a Racer."
0D4FA538,"GTA"
0D86FFD7,"This is 2 Charlie-7, am in pursuit of high speed vehicle."
0D86FFD8,"Dispatch, am pursuing a 10-41."
0D86FFD9,"Dispatch, I've got a 10-41 here, am in pursuit."
0D86FFDA,"All units, I have a 10-41 moving through my area at high speed."
0D86FFDB,"All units, possible Code 3 pursuit."
0D86FFDC,"All units, am pursuing a 10-41, looks like a possible Code 3 pursuit."
0D86FFDD,"All units, possible Code 3 pursuit. I have a speeding vehicle that's ignoring lights."
0D86FFDE,"Dispatch, Dispatch, alert all units, I have a 10-41 in my area."
0D878EEE,"Unknown"
0DB9B591,"Power On"
0DD38362,"Acid Warning"
0DDC01D9,"BUY STRIPE?"
0DE15680,"Senior PM Director"
0E022EC6,"<Add name here>"
0E288758,"Start customizing your cars by choosing custom paint colors and rims.  Then go further by adding strips, decals and full body wraps.  Add the finishing touch with a personalized license plate so everyone knows who you are."
0E2AA7D1,"Dispatch, we're going Eastbound."
0E2AA7D2,"Code 3 heading Eastwards."
0E2F44EF,"Be advised, I've halted the speeding vehicle. Moving in to apprehend the suspect."
0E2F44F0,"Dispatch, 10-44 is at a standstill. Moving in to make the arrest."
0E2F44F1,"Control, I've stopped the suspect. Apprehending now."
0E2F44F2,"Racer halted. Ready to throw the book at this one. Standby, Dispatch."
0E2F44F3,"Target vehicle is stationary. Apprehending suspect now."
0E2F44F4,"Be advised, Control, I'm attempting to take the suspect into custody."
0E2F44F5,"Suspect vehicle halted. Moving in to book the target."
0E2F44F6,"Dispatch, Racer is now stationary. Attempting arrest."
0E320D95,"OverWatch, Roadblock deployed"
0E4C3CC9,"{0:s} of {1:s} Coastal Road Rules beaten in Pursuit"
0E53C5B2,"Lexus LFA"
0E541693,"Lexus"
0E66D9BC,"Change the colour of your rims with different metallic finishes or paint them with one or two-tone designs."
0E6A1476,"You must be signed in to Origin and the EA servers in order to visit Need for Speed™ Network.  Do you want to sign in now?"
0E734E56,"<content goes here>"
0E84F9CB,"Norfolk Island"
0E8632AF,"Lockdown Evaded"
0E8C17C5,"Senior QA Project Lead"
0EA3DB4E,"Dispatch, I have a Street race in progress on Grand Peak Drive.  Requesting backup units to shut it down."
0EA3DB4F,"Street race activity spotted on Grand Peak Drive. Requesting support from units available in the vicinity."
0EAAFACD,"1 Lincoln 6 joining pursuit."
0EAAFACE,"1 Lincoln 6 going in pursuit Code 3. I'm in the chase."
0EAAFACF,"This is 1 Lincoln 6. I've got your back."
0EAAFAD0,"1 Lincoln 6 reporting: I'm in pursuit of the suspects."
0EAAFAD1,"Dispatch, I have eyes on suspect, am closing on pursuit."
0EAAFAD2,"Dispatch, show me joining Code 3 pursuit, over."
0EAAFAD3,"This is 2 Charlie-7, joining pursuit."
0EAFA0E0,"Patrolling in an {0:~} with {1:d} players"
0EC1094E,"Get 10 Spike Strip hits"
0EF1BA59,"This guys moving down Fork Tongue Trail"
0EF1BA5A,"We're moving fast on Fork Tongue Trail"
0EF241A5,"ART"
0EF29972,"VFX"
0EF91EA9,"Trademarks, design patents and copyrights are used with the approval of the owner and/or exclusive licensee Bugatti International S.A."
0F29BE44,"This key was already bound to {0:s}"
0F544024,"Wanted vehicle is green, over."
0F79DEBB,"Russian Federation"
0F8C2F54,"APPLY CUSTOM PAINT JOB"
0F9D42CA,"LEVEL {0:s}"
